count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
1099;4916;SUV;71.6;0.494;0.0;0.0;14.11;0.1;21.5;52.0;32.68;0.019;10.7;0.0112;0.0812;9,00E-05;29.41;0.0076;9.63;0.0056;0.0487;1,00E-05
1100;4898;PC;37.0;-0.358;0.0;0.0;3.81;0.1;17.0;-6.3;15.93;0.0073;5.22;0.0058;0.0415;0.00033;14.34;0.0029;4.69;0.0029;0.0249;3,00E-05
1101;4900;PC;53.2;0.033;0.0;0.0;3.54;0.1;17.0;-40.7;10.08;0.0051;3.3;0.0035;0.0251;0.00011;9.07;0.002;2.97;0.0017;0.0151;1,00E-05
1102;4901;MBT;55.9;-0.961;0.0;0.0;2.42;0.1;27.1;-61.3;10.49;0.0053;3.41;0.0044;0.0276;0.00057;9.44;0.0027;3.07;0.0024;0.0168;6,00E-05
1103;4924;PC;46.9;-1.13;0.0;0.0;3.78;0.1;17.0;-1.1;16.81;0.0073;5.5;0.0063;0.0446;0.00042;15.13;0.0029;4.95;0.0031;0.0268;4,00E-05
1104;4917;PC;43.6;-0.284;0.0;0.0;2.05;0.1;17.0;-45.4;9.27;0.0042;3.04;0.0034;0.0243;0.00021;8.35;0.0017;2.73;0.0017;0.0146;2,00E-05
1105;4931;PC;52.4;0.12;0.0;0.0;4.59;0.1;17.0;-27.9;12.27;0.0066;4.02;0.0041;0.0297;5,00E-05;11.04;0.0026;3.61;0.002;0.0178;1,00E-05
1106;4936;PC;51.4;-0.043;0.0;0.0;2.78;0.1;17.0;-48.3;8.8;0.0043;2.88;0.0031;0.0222;0.00011;7.92;0.0017;2.59;0.0015;0.0133;1,00E-05
1107;4938;SUV;47.1;-0.333;0.0;0.0;1.88;0.1;21.5;-52.6;10.18;0.005;3.33;0.004;0.0281;0.00026;9.17;0.002;3.0;0.002;0.0169;3,00E-05
1108;4934;LCV;43.9;-0.119;0.0;0.0;2.04;0.1;26.8;-65.6;9.23;0.0112;2.88;0.005;0.0167;0.00144;8.31;0.008;2.59;0.0035;0.0117;0.00014
1109;4928;HV;66.9;0.058;0.0;0.0;6.33;0.1;93.8;-85.3;13.74;0.0072;4.5;0.0046;0.0336;9,00E-05;12.37;0.0029;4.05;0.0023;0.0202;1,00E-05
1110;4959;PC;39.9;-0.323;0.0;0.0;2.25;0.1;17.0;-41.9;9.88;0.0041;3.23;0.0038;0.0266;0.00028;8.89;0.0017;2.91;0.0019;0.0159;3,00E-05
1111;4949;LCV;45.4;-0.269;0.0;0.0;2.24;0.1;26.8;-54.8;12.11;0.0127;3.77;0.0065;0.0245;0.00176;10.9;0.0092;3.4;0.0045;0.0171;0.00018
1112;4983;SUV;111.3;0.411;0.0;0.0;19.88;0.1;21.5;78.7;38.41;0.0212;12.58;0.0129;0.0941;0.00015;34.57;0.0085;11.32;0.0065;0.0564;2,00E-05
1113;4956;SUV;64.9;-1.035;0.0;0.0;4.51;0.1;21.5;-26.7;15.75;0.0118;5.06;0.007;0.038;0.0011;14.18;0.0069;4.55;0.0042;0.024;0.00011
